ztop,Temperature,AgeAICC
347.05,0.37,11340.2
347.6,0.53,11359
348.15,0.18,11377.7
348.7,-0.29,11397.3
349.25,-2.15,11416.8
349.8,-0.61,11436.4
350.35,-0.32,11455.6
350.9,-0.95,11474.9
351.45,1.29,11494.2
352,1.11,11513.2
352.55,-1.77,11532.3
353.1,-0.78,11551.3
353.65,-1.59,11571.9
354.2,-0.77,11592.4
354.75,-0.37,11612.9
355.3,0.42,11631.5
355.85,0.14,11650.1
356.4,0.79,11668.7
356.95,0.28,11687.4
357.5,-0.73,11706
358.05,-1.33,11724.6
358.6,-0.92,11745.4
359.15,-1.16,11766.1
359.7,-1.15,11786.8
360.25,-0.19,11806.8
360.8,-1.05,11826.8
361.35,0.01,11846.9
361.9,-1.06,11866.4
362.45,0.07,11885.9
363,-1.29,11905.5
363.55,-0.5,11925.7
364.1,-0.88,11945.9
364.65,0.07,11966.2
365.2,-1.3,11987.3
365.75,-2.48,12008.5
366.3,-1.85,12029.7
366.85,-2.09,12052.4
367.4,-1.86,12075.2
367.95,-2.11,12097.9
368.5,-1.84,12121.2
369.05,-2.78,12144.5
369.6,-2.64,12167.7
370.15,-1.69,12190.9
370.7,-1.99,12214
371.25,-1.96,12237.2
371.8,-3.02,12261.4
372.35,-2.57,12285.6
372.9,-2.91,12309.8
373.45,-4.44,12335.8
374,-3.03,12361.9
374.55,-2.97,12387.9
375.1,-3.81,12413.1
375.65,-2.63,12438.2
376.2,-2.12,12463.4
376.75,-3.61,12488.3
377.3,-2.23,12513.1
377.85,-4.23,12538
378.4,-4.4,12565.7
378.95,-3.49,12593.4
379.5,-4.91,12621.1
380.05,-3.17,12648.1
380.6,-2.76,12675.1
381.15,-4.1,12702.1
381.7,-4.14,12729.8
382.25,-3.86,12757.4
382.8,-5.5,12785.1
383.35,-4.91,12815.8
383.9,-5.17,12846.6
384.45,-4.65,12877.4
385,-5.15,12906.9
385.55,-3.88,12936.3
386.1,-4.35,12965.8
386.65,-4.19,12995.5
387.2,-5.28,13025.2
387.75,-5.53,13054.9
388.3,-4.1,13084.5
388.85,-4.74,13114.1
389.4,-3.56,13143.7
389.95,-4.41,13173
390.5,-4.82,13202.3
391.05,-5.04,13231.6
391.6,-4.58,13261.1
392.15,-3.85,13290.6
392.7,-4.05,13320
393.25,-4.61,13349.8
393.8,-5.17,13379.6
394.35,-4.7,13409.4
394.9,-4.27,13438.2
395.45,-3.47,13467.1
396,-3.94,13495.9
396.55,-4.6,13524.2
397.1,-3.6,13552.5
397.65,-3.57,13580.9
398.2,-4.12,13609.2
398.75,-4.28,13637.5
399.3,-5.31,13665.8
399.85,-5.06,13696.9
400.4,-4.49,13727.9
400.95,-4.92,13758.9
401.5,-3.97,13787.5
402.05,-2.76,13816.1
402.6,-4.46,13844.7
403.15,-3.88,13873.6
403.7,-4.83,13902.4
404.25,-4.98,13931.3
404.8,-5.06,13962.2
405.35,-5.03,13993.2
405.9,-4.18,14024.1
406.45,-4.78,14053.9
407,-4.43,14083.6
407.55,-3.06,14113.3
408.1,-5.07,14141.3
408.65,-3.15,14169.3
409.2,-4.6,14197.2
409.75,-4.68,14226.2
410.3,-4.23,14255.2
410.85,-3.49,14284.2
411.4,-2.82,14310.2
411.95,-2.64,14336.2
412.5,-3.24,14362.2
413.05,-3.98,14389.9
413.6,-4.05,14417.7
414.15,-4.48,14445.4
414.7,-3.27,14472.4
415.25,-2.71,14499.4
415.8,-3,14526.4
416.35,-3.43,14552.9
416.9,-4.14,14579.5
417.45,-1.02,14606.1
