y,x,z
2.395797475,-7.12,28.71665
2.3816283,-7.275,28.8084
2.380546634,-7.38,28.90085
2.370863934,-7.475,28.9938
2.370863934,-7.32,29.0872
2.400197922,-7.2,29.17925
2.399095993,-7.395,29.27
2.363397232,-7.685,29.36245
2.362335097,-7.935,29.4566
2.33407576,-8.07,29.55215
2.3330443,-8.09,29.6491
2.350725468,-7.915,29.74525
2.350725468,-7.65,29.84055
2.369793843,-7.73,29.93495
2.369793843,-8.27,30.02845
2.276917346,-8.83,30.1265
2.276917346,-9.02,30.2291
2.273026291,-8.92,30.3319
2.273026291,-8.72,30.4349
2.324830702,-8.38,30.5353
2.32585372,-7.99,30.63305
2.357041279,-8.06,30.72925
2.358097803,-8.47,30.8239
2.315670333,-8.59,30.92055
2.316684017,-8.395,31.0192
2.357041279,-8.18,31.11585
2.357041279,-7.995,31.21055
2.395797475,-7.795,31.30345
2.395797475,-7.59,31.39455
2.400197922,-7.825,31.48545
2.399095993,-8.49,31.5762
2.33407576,-8.645,31.67005
2.33407576,-8.295,31.76695
2.400197922,-7.945,31.86075
2.401301066,-7.595,31.9514
2.467459736,-7.245,32.0391
2.468639677,-6.89,32.12385
2.518256629,-6.71,32.2065
2.519498095,-6.845,32.28705
2.491327218,-7.115,32.3687
2.491327218,-7.385,32.4515
2.453407983,-7.655,32.5359
2.453407983,-7.92,32.6219
2.415753791,-8.2,32.70955
2.414634597,-8.36,32.7989
2.412399959,-8.35,32.8884
2.412399959,-8.455,32.978
2.405725852,-8.505,33.0679
2.406835114,-8.365,33.15805
2.446455463,-8.125,33.2464
2.446455463,-7.545,33.333
2.540842282,-7.08,33.4157
2.540842282,-7.32,33.4945
2.487710577,-7.725,33.57545
2.487710577,-7.79,33.65855
2.494956986,-7.695,33.74135
2.493745598,-7.58,33.8239
2.518256629,-7.465,33.9055
2.517016704,-7.355,33.98615
2.523231764,-7.465,34.0666
2.523231764,-7.79,34.1468
2.482908647,-7.975,34.22865
2.48410697,-8.025,34.3121
2.488914671,-7.95,34.3953
2.490120217,-7.75,34.47825
2.513306124,-7.71,34.5602
2.513306124,-7.9,34.6412
2.478129666,-8.115,34.72365
2.47693848,-8.065,34.8076
2.514541455,-7.665,34.89005
2.513306124,-7.27,34.971
2.570464538,-6.955,35.04975
2.571772583,-6.755,35.1262
2.582298996,-6.765,35.2022
2.583622623,-6.94,35.27775
2.540842282,-7.18,35.3549
2.542112124,-6.94,35.43365
2.566550639,-6.84,35.5114
2.566550639,-7.28,35.5882
2.528231775,-7.24,35.6665
2.526979426,-6.805,35.74635
2.574393816,-6.665,35.8244
2.573082341,-7.09,35.90065
2.498599977,-7.47,35.9799
2.498599977,-7.38,36.0621
2.494956986,-7.44,36.14445
2.494956986,-7.595,36.22695
2.472187877,-7.6,36.3104
2.473373414,-7.47,36.39475
2.498599977,-7.205,36.478
2.499817263,-7.255,36.56015
2.466281186,-7.49,36.64365
2.466281186,-7.425,36.72855
2.481711759,-7.215,36.8128
2.480516301,-7.145,36.89645
2.467459736,-7.265,36.9807
2.467459736,-7.265,37.0655
2.496169842,-6.85,37.1491
2.494956986,-6.705,37.23155
2.490120217,-6.82,37.31425
2.490120217,-6.505,37.39715
2.517016704,-6.42,37.47895
2.517016704,-6.335,37.55965
2.542112124,-6.045,37.63935
2.542112124,-6.08,37.71805
2.538307427,-6.01,37.7969
2.539574051,-5.785,37.87585
2.583622623,-5.42,37.95305
2.583622623,-4.98,38.02855
2.620039324,-4.935,38.1027
2.61866664,-5.285,38.17555
2.54338358,-5.75,38.2513
2.542112124,-5.94,38.32995
2.528231775,-5.86,38.4092
