y,x,z
3.344645212,-0.025,11.0542
3.344645212,-0.34,11.0736
3.299297392,-1.385,11.09345
3.304235674,-1.235,11.1137
3.304235674,-0.39,11.1339
3.376061408,-0.195,11.1534
3.381394754,0.015,11.17215
3.376061408,0.11,11.1909
3.329299642,-0.765,11.21015
3.334388712,-1.295,11.2298
3.329299642,-0.805,11.24945
3.279784578,-0.94,11.26965
3.274965292,-1.515,11.2904
3.279784578,-1.275,11.31115
3.381394754,-0.28,11.33085
3.376061408,0.45,11.3496
3.381394754,0.355,11.36835
3.334388712,-0.055,11.3875
3.339503813,-1.22,11.40705
3.334388712,-1.38,11.4266
3.355007999,-0.465,11.446
3.349813182,-0.635,11.46525
3.349813182,0.17,11.48455
3.365479299,1.2,11.5037
3.360229943,-0.33,11.52275
3.365479299,-1.275,11.5418
3.284627202,-1.185,11.5616
3.289493392,-1.18,11.58215
3.289493392,-0.57,11.60265
3.386756698,0.025,11.6222
3.386756698,0.28,11.6408
3.386756698,0.465,11.6594
3.381394754,0.535,11.67805
3.386756698,-0.225,11.6967
3.386756698,-1.03,11.7153
3.274965292,-1.125,11.735
3.279784578,-1.04,11.75575
3.279784578,-1.155,11.77645
3.314186005,-0.67,11.7968
3.314186005,-0.62,11.8168
3.309198463,-0.52,11.83685
3.339503813,-0.525,11.85665
3.339503813,-0.495,11.87615
3.334388712,-0.61,11.8957
3.304235674,-0.895,11.9156
3.304235674,-0.69,11.9358
3.299297392,-0.405,11.95605
3.260645238,-0.615,11.97675
3.255917097,-1.89,11.9979
3.255917097,-2.165,12.0191
3.187553354,-1.97,12.04105
3.183157742,-1.975,12.0638
3.187553354,-1.985,12.08655
3.161464918,-1.975,12.10955
3.161464918,-2.31,12.13285
3.165766,-2.71,12.1561
3.165766,-2.165,12.1793
3.170085661,-1.84,12.20245
3.165766,-1.975,12.2256
3.123565645,-2.49,12.2493
3.123565645,-2.795,12.2735
3.123565645,-2.74,12.2977
3.05182174,-3.675,12.3228
3.047982964,-3.735,12.34885
3.05182174,-3,12.3749
3.083074284,-3.39,12.4005
3.087050432,-3.22,12.42565
3.083074284,-2.375,12.4508
3.095050475,-2.865,12.47585
3.099074625,-2.92,12.5007
3.095050475,-3.23,12.52555
2.988485865,-4.315,12.55185
2.988485865,-3.945,12.57955
2.988485865,-4.2,12.60725
3.014081412,-4.04,12.6346
3.014081412,-2.965,12.6616
3.014081412,-3.43,12.6886
2.988485865,-4.12,12.71595
2.992102506,-4,12.7436
2.988485865,-4.68,12.77125
2.885655624,-5.205,12.80045
2.882403588,-5.04,12.8312
2.882403588,-4.91,12.862
2.925528015,-4.9,12.89215
2.928923604,-4.515,12.9216
2.925528015,-4.115,12.95105
2.918771232,-4.27,12.98065
2.918771232,-4.735,13.01035
2.918771232,-5.405,13.04005
2.922143917,-4.815,13.0697
2.922143917,-4.42,13.0993
2.922143917,-4.15,13.1289
2.932330762,-3.985,13.15835
2.932330762,-4.615,13.18765
2.932330762,-4.93,13.21695
2.925528015,-4.81,13.24635
2.925528015,-4.215,13.27585
2.928923604,-3.95,13.3053
2.915409885,-4.33,13.3349
2.915409885,-4.89,13.3647
2.915409885,-4.935,13.3945
2.949542891,-4.485,13.4238
2.946076683,-3.87,13.45265
2.949542891,-3.705,13.4815
2.967056474,-4.27,13.51005
2.967056474,-4.1,13.53835
2.963529133,-3.585,13.5667
2.967056474,-3.845,13.59505
2.967056474,-4.2,13.62335
2.967056474,-4.795,13.65165
2.872710459,-5.185,13.68135
2.875931074,-4.775,13.7124
2.875931074,-4.705,13.7434
2.95651156,-4.445,13.7732
2.95651156,-3.365,13.8018
2.95651156,-3.61,13.8304
2.946076683,-4.17,13.85915
2.949542891,-4.355,13.888
2.946076683,-4.905,13.91685
2.879162094,-5.02,13.94675
2.875931074,-5.045,13.9777
2.879162094,-4.605,14.00865
2.915409885,-4.48,14.039
2.918771232,-4.605,14.06875
2.918771232,-3.745,14.09845
2.977713768,-4.065,14.1273
2.977713768,-4.11,14.1553
2.981291589,-3.875,14.18325
2.942622448,-4.64,14.2117
